Date,Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,high_tide_time_1,htl1,high_tide_time_2,htl2,low_tide_time_1,ltl1,low_tide_time_2,ltl2
1,1,3.9,3.9,3.8,3.6,3.2,2.7,2.1,1.6,1.2,1.1,1.5,2.2,2.9,3.4,3.7,3.9,3.9,3.7,3.5,3.2,3.0,2.9,3.0,3.5,00:23,4.0,15:28,4.0,20:59,2.9,08:40,1.1
2,1,3.9,4.0,3.9,3.8,3.5,3.0,2.4,1.8,1.3,0.9,0.9,1.4,2.2,3.0,3.4,3.8,4.1,4.0,3.8,3.6,3.4,3.1,3.0,3.2,16:26,4.1,01:00,4.0,21:57,3.0,09:31,0.8
3,1,3.7,4.0,4.0,3.9,3.7,3.4,2.8,2.2,1.6,1.1,0.6,0.8,1.4,2.3,3.0,3.5,3.9,4.1,4.1,3.9,3.7,3.5,3.1,3.0,17:21,4.1,02:00,4.0,22:50,3.0,10:20,0.6
4,1,3.3,3.8,4.0,4.0,3.8,3.6,3.2,2.6,2.0,1.5,0.9,0.5,0.8,1.6,2.5,3.1,3.6,4.0,4.1,4.1,4.0,3.8,3.4,3.1,18:14,4.2,02:18,4.0,23:39,3.0,11:07,0.5
5,1,3.0,3.4,3.8,4.0,3.9,3.8,3.5,3.1,2.5,1.9,1.3,0.7,0.5,1.0,1.8,2.6,3.2,3.7,4.0,4.2,4.1,3.9,3.7,3.3,19:00,4.2,03:04,4.0,,,11:51,0.5
6,1,2.9,3.0,3.4,3.8,3.9,3.8,3.7,3.4,2.9,2.3,1.8,1.2,0.7,0.7,1.3,2.1,2.8,3.4,3.8,4.1,4.1,4.0,3.8,3.4,20:00,4.1,04:00,3.9,00:24,2.9,12:33,0.6
7,1,3.0,2.8,2.9,3.4,3.7,3.8,3.8,3.6,3.3,2.8,2.2,1.7,1.1,0.8,1.0,1.7,2.5,3.1,3.5,3.9,4.1,4.0,3.8,3.5,20:09,4.1,05:00,3.8,01:08,2.8,13:12,0.8
8,1,3.2,2.8,2.7,2.9,3.3,3.6,3.7,3.7,3.5,3.1,2.6,2.1,1.6,1.2,1.0,1.4,2.1,2.8,3.3,3.7,4.0,4.0,3.8,3.5,21:00,4.0,06:19,3.7,01:50,2.7,13:47,1.0
9,1,3.2,2.9,2.6,2.6,2.9,3.2,3.5,3.6,3.6,3.4,3.0,2.5,2.0,1.6,1.4,1.4,1.9,2.5,3.1,3.6,3.9,4.0,3.8,3.6,21:00,4.0,07:27,3.6,02:31,2.5,14:20,1.3
10,1,3.3,3.0,2.6,2.4,2.5,2.8,3.1,3.3,3.5,3.5,3.2,2.9,2.4,2.1,1.8,1.7,1.9,2.4,2.9,3.4,3.7,3.9,3.9,3.7,21:17,3.9,08:24,3.5,03:15,2.4,14:51,1.7
11,1,3.4,3.1,2.7,2.4,2.3,2.4,2.6,2.9,3.2,3.4,3.3,3.1,2.8,2.5,2.2,2.0,2.1,2.3,2.7,3.2,3.6,3.8,3.9,3.7,22:00,3.9,09:21,3.4,04:05,2.3,15:22,2.0
12,1,3.5,3.2,2.9,2.5,2.2,2.1,2.2,2.4,2.7,3.0,3.2,3.2,3.1,2.9,2.7,2.4,2.4,2.5,2.7,3.0,3.4,3.7,3.8,3.8,22:16,3.9,10:24,3.3,15:58,2.4,05:04,2.1
13,1,3.6,3.4,3.1,2.7,2.3,2.0,1.9,2.0,2.2,2.6,2.9,3.2,3.2,3.1,3.0,2.9,2.7,2.7,2.8,3.0,3.2,3.5,3.7,3.8,23:00,3.8,12:00,3.2,16:41,2.7,06:14,1.9
14,1,3.7,3.5,3.3,2.9,2.5,2.1,1.8,1.7,1.8,2.0,2.5,2.9,3.1,3.3,3.3,3.2,3.1,2.9,2.9,3.0,3.1,3.3,3.6,3.8,23:59,3.8,14:00,3.3,17:31,2.9,07:19,1.7
15,1,3.8,3.6,3.4,3.1,2.7,2.3,1.9,1.6,1.5,1.6,2.0,2.5,2.9,3.2,3.4,3.5,3.4,3.2,3.1,3.1,3.1,3.2,3.4,3.6,,,15:04,3.5,18:37,3.1,08:10,1.5
16,1,3.8,3.7,3.5,3.3,3.0,2.5,2.0,1.7,1.4,1.3,1.5,2.0,2.6,3.0,3.3,3.5,3.6,3.5,3.4,3.3,3.2,3.2,3.2,3.4,00:10,3.8,16:00,3.6,21:00,3.2,08:55,1.3
17,1,3.7,3.7,3.6,3.4,3.2,2.8,2.3,1.8,1.5,1.2,1.2,1.5,2.1,2.7,3.1,3.5,3.7,3.7,3.6,3.5,3.4,3.3,3.2,3.3,01:00,3.7,17:00,3.7,22:06,3.2,09:36,1.1
18,1,3.5,3.7,3.7,3.5,3.3,3.0,2.6,2.1,1.6,1.3,1.0,1.1,1.6,2.3,2.9,3.3,3.6,3.8,3.8,3.7,3.6,3.4,3.2,3.1,18:00,3.8,01:25,3.7,22:51,3.1,10:16,1.0
19,1,3.3,3.6,3.7,3.7,3.5,3.3,2.9,2.4,1.9,1.5,1.1,0.9,1.2,1.9,2.6,3.1,3.4,3.8,3.9,3.8,3.7,3.5,3.3,3.1,18:11,3.9,02:05,3.7,23:31,3.0,10:55,0.9
20,1,3.1,3.3,3.7,3.7,3.6,3.5,3.2,2.8,2.3,1.8,1.3,0.9,0.9,1.4,2.1,2.8,3.3,3.6,3.9,3.9,3.8,3.6,3.4,3.1,19:00,3.9,03:00,3.7,,,11:35,0.9
21,1,2.9,3.0,3.4,3.7,3.8,3.7,3.5,3.2,2.7,2.2,1.6,1.2,0.9,1.0,1.7,2.5,3.1,3.5,3.8,4.0,3.9,3.7,3.5,3.1,19:16,4.0,04:00,3.8,00:10,2.9,12:13,0.8
22,1,2.8,2.7,3.0,3.5,3.7,3.8,3.7,3.5,3.2,2.6,2.1,1.5,1.1,0.9,1.3,2.1,2.8,3.3,3.7,3.9,4.0,3.8,3.5,3.2,20:00,4.0,05:00,3.8,00:49,2.7,12:52,0.9
23,1,2.8,2.5,2.5,3.0,3.5,3.7,3.8,3.8,3.6,3.1,2.5,2.0,1.5,1.1,1.1,1.7,2.5,3.2,3.6,3.8,4.0,3.9,3.6,3.2,20:08,4.0,06:00,3.8,01:28,2.5,13:32,1.1
24,1,2.9,2.5,2.3,2.4,2.9,3.4,3.7,3.8,3.8,3.5,3.1,2.5,2.0,1.6,1.3,1.5,2.1,2.9,3.4,3.7,3.9,3.9,3.7,3.3,20:31,3.9,07:22,3.8,02:10,2.3,14:13,1.3
25,1,3.0,2.6,2.2,2.1,2.3,2.8,3.3,3.6,3.7,3.7,3.5,3.0,2.6,2.2,1.8,1.7,1.9,2.5,3.2,3.6,3.8,3.9,3.8,3.5,21:00,3.9,08:28,3.7,02:57,2.1,14:57,1.7
26,1,3.1,2.8,2.4,2.0,1.9,2.1,2.6,3.1,3.4,3.6,3.6,3.4,3.1,2.7,2.4,2.2,2.1,2.3,2.8,3.3,3.7,3.8,3.8,3.6,21:21,3.9,10:00,3.6,15:47,2.1,03:50,1.9
27,1,3.3,3.0,2.6,2.2,1.8,1.7,1.9,2.3,2.8,3.2,3.5,3.5,3.4,3.2,3.0,2.7,2.5,2.5,2.6,3.0,3.4,3.7,3.8,3.7,22:00,3.8,11:00,3.5,16:46,2.4,04:53,1.7
28,1,3.5,3.2,2.9,2.5,2.0,1.6,1.4,1.6,2.0,2.5,3.0,3.3,3.5,3.5,3.4,3.3,3.0,2.8,2.8,2.8,3.1,3.5,3.7,3.8,23:00,3.8,13:00,3.5,18:04,2.8,06:04,1.4
29,1,3.7,3.5,3.2,2.8,2.4,1.8,1.4,1.2,1.3,1.7,2.3,2.9,3.3,3.5,3.7,3.7,3.5,3.3,3.1,2.9,2.9,3.1,3.5,3.7,14:27,3.7,23:59,3.7,19:39,2.9,07:16,1.2
30,1,3.7,3.6,3.5,3.2,2.8,2.2,1.7,1.2,0.9,1.0,1.5,2.2,2.8,3.3,3.6,3.9,3.9,3.7,3.5,3.2,3.0,2.9,3.1,3.5,16:00,3.9,,,20:53,2.9,08:19,0.9
31,1,3.7,3.7,3.7,3.5,3.2,2.7,2.1,1.5,1.0,0.6,0.8,1.4,2.2,2.9,3.4,3.8,4.0,4.0,3.8,3.6,3.3,2.9,2.8,3.1,16:23,4.0,01:00,3.7,21:50,2.8,09:14,0.6
1,2,3.5,3.7,3.8,3.7,3.5,3.2,2.6,2.0,1.4,0.8,0.5,0.8,1.5,2.4,3.0,3.5,3.9,4.1,4.0,3.8,3.6,3.2,2.8,2.7,17:11,4.1,02:00,3.8,22:40,2.7,10:04,0.5
2,2,3.1,3.5,3.7,3.8,3.7,3.5,3.1,2.5,1.9,1.3,0.7,0.5,0.9,1.8,2.6,3.1,3.6,4.0,4.1,4.0,3.8,3.5,3.0,2.6,18:00,4.1,03:00,3.8,23:26,2.6,10:51,0.5
3,2,2.7,3.1,3.6,3.7,3.8,3.7,3.5,3.0,2.4,1.8,1.2,0.7,0.6,1.2,2.1,2.8,3.3,3.8,4.0,4.1,3.9,3.6,3.2,2.7,19:00,4.1,04:00,3.8,,,11:34,0.6
4,2,2.4,2.6,3.1,3.6,3.7,3.8,3.7,3.4,2.9,2.3,1.7,1.2,0.8,1.0,1.7,2.5,3.1,3.6,3.9,4.0,3.9,3.7,3.4,2.9,19:02,4.0,05:00,3.8,00:08,2.4,12:13,0.8
5,2,2.4,2.3,2.7,3.2,3.6,3.7,3.8,3.7,3.3,2.8,2.2,1.7,1.2,1.0,1.4,2.2,2.9,3.4,3.8,4.0,4.0,3.7,3.4,3.0,19:25,4.0,06:00,3.8,00:47,2.3,12:48,1.0
6,2,2.5,2.2,2.3,2.7,3.2,3.6,3.7,3.8,3.6,3.1,2.6,2.1,1.6,1.3,1.4,2.0,2.7,3.3,3.7,3.9,3.9,3.8,3.4,3.0,20:00,3.9,07:00,3.8,01:24,2.2,13:19,1.3
7,2,2.6,2.2,2.1,2.3,2.7,3.2,3.5,3.7,3.7,3.4,2.9,2.5,2.0,1.7,1.6,1.9,2.5,3.1,3.6,3.8,3.9,3.8,3.5,3.1,20:00,3.9,07:25,3.7,01:59,2.1,13:46,1.6
8,2,2.7,2.3,2.0,2.0,2.3,2.7,3.2,3.4,3.6,3.5,3.2,2.8,2.4,2.1,1.9,2.0,2.5,3.0,3.4,3.7,3.9,3.8,3.5,3.2,20:10,3.9,08:09,3.6,02:33,2.0,14:09,1.9
9,2,2.8,2.4,2.1,1.9,2.0,2.3,2.7,3.0,3.3,3.4,3.3,3.0,2.7,2.4,2.3,2.3,2.5,2.9,3.3,3.6,3.8,3.8,3.6,3.3,21:00,3.8,09:00,3.4,14:34,2.2,03:11,1.9
10,2,2.9,2.6,2.2,1.9,1.8,2.0,2.2,2.5,2.9,3.1,3.2,3.1,2.9,2.7,2.6,2.5,2.6,2.9,3.2,3.4,3.6,3.7,3.6,3.3,21:00,3.7,10:00,3.2,15:00,2.5,03:55,1.8
11,2,3.0,2.7,2.4,2.1,1.8,1.8,1.9,2.1,2.4,2.7,3.0,3.1,3.1,3.0,2.9,2.8,2.8,2.9,3.1,3.3,3.4,3.5,3.6,3.4,22:00,3.6,11:04,3.1,15:46,2.8,04:50,1.8
12,2,3.2,2.9,2.6,2.3,2.0,1.7,1.7,1.7,1.9,2.2,2.6,2.9,3.0,3.1,3.2,3.1,3.1,3.1,3.1,3.2,3.3,3.4,3.4,3.4,22:24,3.5,14:18,3.2,16:44,3.0,06:03,1.7
13,2,3.3,3.0,2.8,2.6,2.2,1.9,1.6,1.5,1.5,1.7,2.1,2.6,2.9,3.1,3.3,3.4,3.3,3.3,3.2,3.2,3.2,3.2,3.3,3.4,15:17,3.4,23:20,3.4,20:24,3.2,07:23,1.5
14,2,3.3,3.2,3.0,2.8,2.5,2.1,1.7,1.5,1.3,1.4,1.6,2.1,2.6,3.0,3.3,3.5,3.6,3.5,3.4,3.3,3.2,3.1,3.1,3.2,16:00,3.6,,,21:22,3.1,08:22,1.3
15,2,3.3,3.3,3.2,3.1,2.8,2.4,2.0,1.6,1.3,1.1,1.3,1.7,2.3,2.8,3.2,3.5,3.7,3.7,3.6,3.4,3.2,3.0,2.9,3.1,17:00,3.7,00:19,3.4,22:00,2.9,09:09,1.1
16,2,3.3,3.4,3.4,3.3,3.1,2.8,2.4,1.9,1.5,1.1,1.0,1.3,1.9,2.5,3.0,3.4,3.6,3.8,3.7,3.5,3.3,3.1,2.8,2.8,17:07,3.8,01:17,3.4,22:35,2.8,09:52,1.0
17,2,3.1,3.4,3.5,3.5,3.4,3.2,2.8,2.3,1.8,1.4,1.0,1.0,1.5,2.2,2.8,3.2,3.6,3.8,3.8,3.7,3.4,3.2,2.8,2.6,18:00,3.8,02:15,3.5,23:11,2.6,10:33,1.0
18,2,2.7,3.1,3.5,3.6,3.6,3.5,3.2,2.8,2.2,1.7,1.3,1.0,1.1,1.8,2.5,3.1,3.5,3.7,3.9,3.8,3.5,3.2,2.9,2.5,18:05,3.9,03:16,3.6,23:47,2.4,11:13,1.0
19,2,2.4,2.7,3.3,3.6,3.8,3.7,3.6,3.3,2.7,2.2,1.7,1.2,1.0,1.4,2.2,2.9,3.4,3.7,3.9,3.9,3.6,3.3,2.9,2.5,18:30,3.9,04:28,3.8,,,11:52,1.0
20,2,2.2,2.2,2.8,3.4,3.8,3.9,3.9,3.7,3.3,2.7,2.1,1.6,1.2,1.2,1.8,2.6,3.3,3.6,3.8,3.9,3.7,3.4,3.0,2.6,06:00,3.9,19:00,3.9,00:24,2.1,12:31,1.1
21,2,2.1,1.9,2.1,2.8,3.5,3.8,4.0,4.0,3.7,3.2,2.6,2.1,1.6,1.3,1.5,2.3,3.1,3.6,3.8,3.9,3.8,3.5,3.0,2.6,07:00,4.0,19:00,3.9,01:00,1.9,13:09,1.3
22,2,2.2,1.8,1.7,2.1,2.9,3.5,3.8,4.0,3.9,3.6,3.1,2.6,2.1,1.8,1.6,2.0,2.7,3.4,3.8,3.9,3.9,3.6,3.2,2.7,07:25,4.0,19:13,3.9,01:42,1.7,13:49,1.6
23,2,2.3,1.9,1.5,1.6,2.1,2.8,3.4,3.7,3.9,3.8,3.5,3.0,2.6,2.3,2.0,2.0,2.4,3.1,3.6,3.9,3.9,3.7,3.4,2.9,08:19,3.9,20:00,3.9,14:30,2.0,02:26,1.5
24,2,2.5,2.0,1.7,1.4,1.5,2.0,2.6,3.2,3.5,3.7,3.6,3.4,3.1,2.8,2.5,2.4,2.4,2.8,3.3,3.7,3.8,3.8,3.5,3.2,20:10,3.8,09:19,3.7,15:18,2.3,03:16,1.4
25,2,2.7,2.3,1.9,1.5,1.3,1.4,1.8,2.4,2.9,3.3,3.5,3.5,3.4,3.2,3.0,2.8,2.7,2.7,3.0,3.3,3.6,3.7,3.6,3.4,21:00,3.7,11:00,3.5,16:19,2.7,04:16,1.3
26,2,3.1,2.7,2.3,1.9,1.5,1.2,1.2,1.5,2.1,2.6,3.0,3.3,3.4,3.5,3.4,3.3,3.1,2.9,2.9,3.0,3.2,3.5,3.6,3.5,22:02,3.6,13:00,3.5,17:51,2.9,05:29,1.2
27,2,3.3,3.1,2.8,2.4,1.9,1.4,1.1,1.0,1.2,1.8,2.4,2.9,3.2,3.5,3.6,3.6,3.5,3.3,3.1,2.9,2.9,3.0,3.3,3.5,14:27,3.6,23:17,3.5,19:37,2.9,06:48,1.0
28,2,3.4,3.3,3.2,2.9,2.4,1.9,1.4,0.9,0.8,1.0,1.6,2.3,2.9,3.3,3.6,3.8,3.8,3.6,3.3,3.0,2.7,2.7,2.9,3.2,15:20,3.8,,,20:46,2.7,07:57,0.8
1,3,3.4,3.5,3.4,3.3,3.0,2.4,1.9,1.3,0.8,0.6,0.9,1.7,2.4,3.0,3.4,3.8,3.9,3.8,3.6,3.3,2.9,2.5,2.5,2.8,16:02,3.9,01:00,3.5,21:38,2.4,08:54,0.6
2,3,3.2,3.5,3.6,3.6,3.4,3.0,2.4,1.8,1.2,0.7,0.6,1.1,1.9,2.6,3.2,3.6,3.9,4.0,3.8,3.5,3.1,2.6,2.3,2.3,17:00,4.0,03:00,3.6,22:23,2.2,09:44,0.6
3,3,2.8,3.3,3.5,3.7,3.7,3.5,3.0,2.4,1.8,1.2,0.7,0.8,1.4,2.2,2.9,3.4,3.8,4.0,3.9,3.7,3.3,2.9,2.3,2.0,17:14,4.0,04:00,3.7,23:05,2.0,10:29,0.7
4,3,2.3,2.8,3.3,3.6,3.8,3.8,3.5,3.0,2.4,1.8,1.2,0.9,1.1,1.8,2.6,3.2,3.6,3.9,4.0,3.8,3.4,3.0,2.5,2.0,18:00,4.0,04:31,3.8,23:44,1.9,11:11,0.9
